N_unmapped	1304680	1304680	1304680
N_multimapping	1748272	1748272	1748272
N_noFeature	3922684	18230321	18739357
N_ambiguous	597659	130208	144581
ENSDARG00000102141	507	253	254
ENSDARG00000102123	117	48	69
ENSDARG00000114503	429	204	225
ENSDARG00000115971	3	3	0
ENSDARG00000098311	312	141	171
ENSDARG00000104839	1	0	1
ENSDARG00000100143	752	376	376
ENSDARG00000102474	604	321	283
ENSDARG00000104049	1438	772	666
ENSDARG00000102226	12	7	5
ENSDARG00000103095	1396	658	738
ENSDARG00000102128	442	217	225
ENSDARG00000110470	23	10	13
ENSDARG00000100422	9	5	4
ENSDARG00000104632	303	135	168
ENSDARG00000100660	2257	1142	1115
ENSDARG00000113107	182	102	80
ENSDARG00000099787	38	20	18
ENSDARG00000112451	2	0	2
ENSDARG00000070546	3	2	1
ENSDARG00000045914	2958	1459	1499
ENSDARG00000045913	405	201	204
ENSDARG00000045911	348	162	186
ENSDARG00000045910	379	192	187
ENSDARG00000045909	237	109	128
ENSDARG00000025073	20493	10319	10174
ENSDARG00000084828	5	1	4
ENSDARG00000095951	3	2	1
ENSDARG00000093924	1	0	1
ENSDARG00000108269	0	0	0
ENSDARG00000084451	0	0	0
ENSDARG00000031737	1	0	1
ENSDARG00000099652	825	423	402
ENSDARG00000101047	502	347	329
ENSDARG00000102104	0	71	103
ENSDARG00000099833	431	215	216
ENSDARG00000103870	22	10	12
ENSDARG00000096118	366	188	178
ENSDARG00000045900	553	290	263
ENSDARG00000016968	1098	554	544
ENSDARG00000102878	3461	1746	1715
ENSDARG00000059311	32	19	13
ENSDARG00000017386	342	184	158
ENSDARG00000045898	17	5	12
ENSDARG00000006060	384	202	182
ENSDARG00000113105	0	0	0
ENSDARG00000103050	2	1	1
ENSDARG00000070535	1	1	0
ENSDARG00000013789	3	1	2
ENSDARG00000063686	347	165	182
ENSDARG00000087962	592	321	323
ENSDARG00000099313	237	152	137
ENSDARG00000103102	9	6	3
ENSDARG00000104018	4377	2263	2114
ENSDARG00000102157	4	3	1
ENSDARG00000098612	9	4	5
ENSDARG00000100898	0	0	0
ENSDARG00000102340	20	12	8
ENSDARG00000111388	264	139	125
ENSDARG00000025601	0	0	0
ENSDARG00000063672	247	126	122
ENSDARG00000018149	613	315	298
ENSDARG00000095920	0	0	0
ENSDARG00000045886	6181	3178	3003
ENSDARG00000045885	1500	763	738
ENSDARG00000007413	1054	517	537
ENSDARG00000097341	39	25	14
ENSDARG00000045880	166	89	77
ENSDARG00000009657	747	378	369
ENSDARG00000093658	493	250	243
ENSDARG00000026839	231	127	104
ENSDARG00000016979	493	468	446
ENSDARG00000070477	226	340	307
ENSDARG00000045878	68	42	26
ENSDARG00000045877	816	437	379
ENSDARG00000079391	412	206	206
ENSDARG00000015921	454	230	224
ENSDARG00000099520	2	0	2
ENSDARG00000061544	36	17	19
ENSDARG00000020812	2	2	0
ENSDARG00000094007	0	0	0
ENSDARG00000093685	0	0	0
ENSDARG00000059196	6	5	1
ENSDARG00000009262	12	7	5
ENSDARG00000018618	1863	922	941
ENSDARG00000045874	250	157	133
ENSDARG00000057468	2	25	17
ENSDARG00000045873	15	5	10
ENSDARG00000079143	79	49	30
ENSDARG00000057714	32	13	19
ENSDARG00000045224	23	9	14
ENSDARG00000011246	374	187	187
ENSDARG00000053709	1	0	1
ENSDARG00000099129	77	50	27
ENSDARG00000101813	3877	2252	1625
ENSDARG00000039724	1	1	0
ENSDARG00000070441	18	12	6
ENSDARG00000011961	204	84	120
ENSDARG00000008986	7	0	7
ENSDARG00000008235	397	210	189
ENSDARG00000107595	0	0	0
ENSDARG00000004592	13939	7003	6938
ENSDARG00000006567	104	51	53
ENSDARG00000016231	182	91	91
ENSDARG00000016749	39	22	17
ENSDARG00000004227	157	85	72
ENSDARG00000006038	184	87	97
ENSDARG00000045870	577	303	274
ENSDARG00000098551	0	0	0
ENSDARG00000060248	49	26	23
ENSDARG00000017757	640	309	331
ENSDARG00000030598	1487	786	701
ENSDARG00000077356	53	54	42
ENSDARG00000097907	57	24	76
ENSDARG00000089860	43	29	21
ENSDARG00000097073	0	3	13
ENSDARG00000039843	204	102	111
ENSDARG00000077654	4	2	2
ENSDARG00000112842	0	0	0
ENSDARG00000070414	0	0	0
ENSDARG00000033296	0	8	0
ENSDARG00000006283	990	483	507
ENSDARG00000045864	22850	11673	11185
ENSDARG00000045863	2028	945	1083
ENSDARG00000093470	0	0	0
ENSDARG00000105162	12	9	3
ENSDARG00000107526	0	0	0
ENSDARG00000016691	16	5	11
ENSDARG00000101363	31	13	18
ENSDARG00000095042	0	0	0
ENSDARG00000100963	0	0	0
ENSDARG00000115613	0	0	0
ENSDARG00000059043	4	3	1
ENSDARG00000075281	83	38	45
ENSDARG00000023766	2177	1341	1227
ENSDARG00000097286	0	164	227
ENSDARG00000039356	327	169	158
ENSDARG00000059064	221	95	126
ENSDARG00000099725	0	0	0
ENSDARG00000090401	24	12	12
ENSDARG00000063578	8	5	3
ENSDARG00000106466	0	0	0
ENSDARG00000063563	1070	546	524
ENSDARG00000039350	318	162	156
ENSDARG00000073963	1	1	0
ENSDARG00000069607	0	0	0
ENSDARG00000059053	5	2	3
ENSDARG00000092677	447	495	417
ENSDARG00000020871	1200	771	894
ENSDARG00000039346	2986	1376	1610
ENSDARG00000101565	3	3	0
ENSDARG00000097044	7	5	3
ENSDARG00000059003	75	42	33
ENSDARG00000039343	898	477	421
ENSDARG00000039340	406	217	189
ENSDARG00000070408	18	10	8
ENSDARG00000045858	362	196	166
ENSDARG00000045856	0	0	0
ENSDARG00000045854	0	0	0
ENSDARG00000045853	9	5	4
ENSDARG00000045851	2	2	0
ENSDARG00000095324	0	0	0
ENSDARG00000015623	6	3	3
ENSDARG00000030694	391	205	186
ENSDARG00000096037	0	0	0
ENSDARG00000045850	156	79	84
ENSDARG00000015931	61	31	37
ENSDARG00000063481	2	1	1
ENSDARG00000045847	989	537	452
ENSDARG00000045846	242	134	108
ENSDARG00000045843	341	162	179
ENSDARG00000045842	172	193	189
ENSDARG00000095332	22	112	121
ENSDARG00000014395	4	2	2
ENSDARG00000045837	19	8	11
ENSDARG00000094254	0	0	0
ENSDARG00000097507	18	14	5
ENSDARG00000095186	1	0	1
ENSDARG00000096986	5	3	2
ENSDARG00000097353	14	8	6
ENSDARG00000110143	1	4	0
ENSDARG00000045836	52	26	28
ENSDARG00000006409	5	1	5
ENSDARG00000045835	0	0	0
ENSDARG00000045834	0	0	0
ENSDARG00000034700	4276	2159	2117
ENSDARG00000024465	847	406	441
ENSDARG00000017355	3	3	0
ENSDARG00000031956	278	136	142
ENSDARG00000070220	1	1	0
ENSDARG00000075956	2	0	2
ENSDARG00000009607	538	293	245
ENSDARG00000054321	1	1	0
ENSDARG00000024654	35	19	16
ENSDARG00000040610	13	5	8
ENSDARG00000003200	10	7	3
ENSDARG00000100253	0	0	0
ENSDARG00000091640	66	37	29
ENSDARG00000073858	203	102	101
ENSDARG00000088078	138	58	80
ENSDARG00000099560	641	388	424
ENSDARG00000087120	24	124	71
ENSDARG00000099280	247	227	195
ENSDARG00000101680	680	446	409
ENSDARG00000098745	11	4	7
ENSDARG00000074223	492	278	214
ENSDARG00000093020	1	0	1
ENSDARG00000091974	892	445	447
ENSDARG00000005453	241	121	120
ENSDARG00000090468	291	144	147
ENSDARG00000099281	558	286	272
ENSDARG00000068701	28	14	14
ENSDARG00000097967	0	0	0
ENSDARG00000068705	207	117	90
ENSDARG00000068708	964	503	461
ENSDARG00000024874	331	183	148
ENSDARG00000096138	0	0	0
ENSDARG00000084778	0	0	0
ENSDARG00000107521	0	0	0
ENSDARG00000110906	0	0	0
ENSDARG00000113211	0	0	0
ENSDARG00000102702	132	66	66
ENSDARG00000102461	7	6	1
ENSDARG00000101296	0	0	0
ENSDARG00000099870	51652	26885	24767
ENSDARG00000070314	736	420	316
ENSDARG00000045822	4	2	2
ENSDARG00000105079	64	53	11
ENSDARG00000101254	28	15	13
ENSDARG00000006029	254	118	136
ENSDARG00000018688	1208	603	605
ENSDARG00000112117	0	0	0
ENSDARG00000079470	82	54	28
ENSDARG00000105096	15	9	6
ENSDARG00000104976	14	5	9
ENSDARG00000086740	2599	1340	1259
ENSDARG00000027799	17	7	10
ENSDARG00000045815	2	1	1
ENSDARG00000078073	289	153	136
ENSDARG00000075025	243	117	126
ENSDARG00000074905	6	4	2
ENSDARG00000026052	3	1	2
ENSDARG00000002663	1200	596	604
ENSDARG00000074547	0	0	0
ENSDARG00000076313	0	0	0
ENSDARG00000074613	0	0	0
ENSDARG00000039393	17	8	9
ENSDARG00000039392	3839	1837	2002
ENSDARG00000108662	0	0	0
ENSDARG00000081119	0	0	0
ENSDARG00000079824	1	0	1
ENSDARG00000076014	47	25	22
ENSDARG00000031930	0	0	0
ENSDARG00000109986	0	0	0
ENSDARG00000102464	87	50	37
ENSDARG00000081240	0	0	0
ENSDARG00000045801	494	249	245
ENSDARG00000096855	0	0	0
ENSDARG00000101849	4125	2037	2089
ENSDARG00000093557	0	1	0
ENSDARG00000103537	191	100	91
ENSDARG00000102020	125	58	67
ENSDARG00000101967	0	0	0
ENSDARG00000088181	1	0	1
ENSDARG00000063097	23	11	12
ENSDARG00000039681	2317	1149	1168
ENSDARG00000070230	40	18	22
ENSDARG00000077926	130	66	64
ENSDARG00000073881	207	121	86
ENSDARG00000034375	30	17	13
ENSDARG00000039185	530	271	259
ENSDARG00000058127	116	57	59
ENSDARG00000045788	378	179	199
ENSDARG00000045789	4	3	1
ENSDARG00000045790	342	167	175
ENSDARG00000058159	625	305	320
ENSDARG00000063149	289	134	155
ENSDARG00000016538	14	9	5
ENSDARG00000025859	648	335	313
ENSDARG00000058042	0	0	0
ENSDARG00000088044	1	1	0
ENSDARG00000091656	238	128	110
ENSDARG00000099821	1	0	1
ENSDARG00000063054	1030	546	484
ENSDARG00000075501	450	238	213
ENSDARG00000058030	1152	619	534
ENSDARG00000045704	169	96	73
ENSDARG00000045705	5	2	3
ENSDARG00000033179	274	152	122
ENSDARG00000109844	2	2	0
ENSDARG00000110426	5	2	3
ENSDARG00000096009	0	0	0
ENSDARG00000025824	389	202	187
ENSDARG00000004386	14	6	8
ENSDARG00000114963	357	233	247
ENSDARG00000045706	1630	817	926
ENSDARG00000094732	230	131	109
ENSDARG00000057983	0	0	0
ENSDARG00000063008	30	15	15
ENSDARG00000057974	593	312	281
ENSDARG00000086650	1	1	0
ENSDARG00000003570	4272	2138	2134
ENSDARG00000057942	16	8	8
ENSDARG00000062983	633	318	315
ENSDARG00000045708	43	20	23
ENSDARG00000070126	0	0	0
ENSDARG00000062968	1492	728	764
ENSDARG00000057929	234	121	113
ENSDARG00000057921	52	31	21
ENSDARG00000018820	3638	1973	1665
ENSDARG00000032799	1	1	0
ENSDARG00000032389	930	456	474
ENSDARG00000034326	877	444	433
ENSDARG00000045747	856	430	426
ENSDARG00000106389	0	0	0
ENSDARG00000094973	7	4	3
ENSDARG00000045748	65	33	35
ENSDARG00000094597	0	0	3
ENSDARG00000116855	0	0	0
ENSDARG00000097175	7	3	4
ENSDARG00000111380	0	0	0
ENSDARG00000095446	1	1	0
ENSDARG00000093014	0	0	0
ENSDARG00000096967	2	1	1
ENSDARG00000045749	700	419	375
ENSDARG00000095994	3	57	40
ENSDARG00000045750	0	0	0
ENSDARG00000095981	1	0	1
ENSDARG00000045752	0	0	0
ENSDARG00000092989	1	1	0
ENSDARG00000045753	413	222	191
ENSDARG00000045754	60	42	34
ENSDARG00000045755	47	155	159
ENSDARG00000096083	23	150	124
ENSDARG00000096010	0	0	0
ENSDARG00000096184	4	2	2
ENSDARG00000096047	3	2	1
ENSDARG00000094603	6	3	3
ENSDARG00000096156	2	2	0
ENSDARG00000096187	2	1	1
ENSDARG00000096039	0	0	0
ENSDARG00000096153	27	15	12
ENSDARG00000045758	0	0	0
ENSDARG00000045760	0	0	0
ENSDARG00000001781	82	83	49
ENSDARG00000096114	0	17	33
ENSDARG00000096218	0	0	0
ENSDARG00000096131	0	0	0
ENSDARG00000094545	0	0	0
ENSDARG00000019235	827	440	387
ENSDARG00000063299	1	1	0
ENSDARG00000070015	0	0	0
ENSDARG00000003822	144	76	68
ENSDARG00000005451	10563	5396	5167
ENSDARG00000079698	116	68	48
ENSDARG00000045765	36	25	11
ENSDARG00000112657	0	0	0
ENSDARG00000032765	266	138	128
ENSDARG00000081841	5	4	1
ENSDARG00000081284	0	0	0
ENSDARG00000096147	18	12	6
ENSDARG00000025576	905	435	470
ENSDARG00000031228	9311	4661	4650
ENSDARG00000096099	8	6	2
ENSDARG00000093427	25	8	17
ENSDARG00000092083	14	8	6
ENSDARG00000117743	5	4	1
ENSDARG00000094299	0	0	0
ENSDARG00000005891	3891	1907	1984
ENSDARG00000063255	65	29	36
ENSDARG00000094457	0	0	0
ENSDARG00000045768	3527	1758	1769
ENSDARG00000032242	70	32	38
ENSDARG00000058366	804	421	383
ENSDARG00000017661	415	213	202
ENSDARG00000020015	844	446	398
ENSDARG00000006747	41	20	21
ENSDARG00000094980	1	1	0
ENSDARG00000007639	1451	738	713
ENSDARG00000041665	2920	1449	1471
ENSDARG00000087319	2	1	1
ENSDARG00000058244	7	6	1
ENSDARG00000103365	0	0	0
ENSDARG00000095461	0	0	0
ENSDARG00000074873	0	0	0
ENSDARG00000104625	0	0	0
ENSDARG00000103215	0	0	0
ENSDARG00000019396	137	71	66
ENSDARG00000013476	3	0	3
ENSDARG00000085437	0	0	0
ENSDARG00000008720	0	0	0
ENSDARG00000110404	1	2	1
ENSDARG00000032618	163	90	73
ENSDARG00000022165	604	303	303
ENSDARG00000005897	269	157	112
ENSDARG00000053127	300	144	156
ENSDARG00000053131	65	45	20
ENSDARG00000053136	18756	9538	9218
ENSDARG00000069912	9	5	4
ENSDARG00000117577	2	0	2
ENSDARG00000045658	3583	1801	1782
ENSDARG00000015824	353	191	162
ENSDARG00000005541	29	10	19
ENSDARG00000078613	26	11	15
ENSDARG00000014361	1319	662	657
ENSDARG00000110543	2	2	0
ENSDARG00000094001	0	0	0
ENSDARG00000097457	18	9	9
ENSDARG00000096135	49	31	18
ENSDARG00000015053	36	15	21
ENSDARG00000117423	0	0	0
ENSDARG00000017841	1294	628	666
ENSDARG00000045669	0	0	0
ENSDARG00000094646	1152	625	527
ENSDARG00000092714	0	0	0
ENSDARG00000024211	0	0	0
ENSDARG00000045671	2	2	0
ENSDARG00000045672	0	0	0
ENSDARG00000045673	0	0	0
ENSDARG00000045675	147	68	79
ENSDARG00000045676	800	387	413
ENSDARG00000045677	0	0	0
ENSDARG00000081977	0	0	0
ENSDARG00000045680	1354	692	662
ENSDARG00000045681	72	33	39
ENSDARG00000045683	7	3	4
ENSDARG00000078745	686	343	348
ENSDARG00000105458	1	1	5
ENSDARG00000006396	0	0	0
ENSDARG00000112990	0	0	0
ENSDARG00000045685	1	1	0
ENSDARG00000045687	6	2	4
ENSDARG00000022550	65	28	37
ENSDARG00000045692	437	218	254
ENSDARG00000015966	486	270	251
ENSDARG00000045691	265	136	129
ENSDARG00000045694	1020	529	491
ENSDARG00000086259	7	3	4
ENSDARG00000095980	0	0	0
ENSDARG00000090957	3	1	2
ENSDARG00000096149	0	0	0
ENSDARG00000109403	0	0	0
ENSDARG00000094534	1	0	1
ENSDARG00000113738	0	0	0
ENSDARG00000097023	0	0	0
ENSDARG00000097419	0	0	0
ENSDARG00000062808	3	3	0
ENSDARG00000093588	1	1	0
ENSDARG00000069780	32	16	16
ENSDARG00000011661	230	116	114
ENSDARG00000062797	7	3	4
ENSDARG00000018744	0	0	0
ENSDARG00000020086	872	446	426
ENSDARG00000096496	0	0	0
ENSDARG00000092161	0	0	0
ENSDARG00000003811	2312	1223	1089
ENSDARG00000094799	1	1	0
ENSDARG00000077090	2	2	0
ENSDARG00000079892	7	6	1
ENSDARG00000015985	3425	1751	1674
ENSDARG00000112970	602	404	254
ENSDARG00000045589	27	14	13
ENSDARG00000112858	0	0	0
ENSDARG00000057334	650	359	347
ENSDARG00000113699	5	1	4
ENSDARG00000106193	2	1	1
ENSDARG00000045594	8	3	5
ENSDARG00000045595	56	26	30
ENSDARG00000006215	53	677	467
ENSDARG00000045598	528	736	883
