Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores	per_tile_sequence_quality
SRR11033311_1	warn	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20221945.0	pass	warn	warn	45.0	42.0189197626	SRR11033311_1.fastq	pass	
SRR11033311_2	warn	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20221945.0	pass	warn	warn	46.0	45.7222448615	SRR11033311_2.fastq	pass	
SRR11033312_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	27027654.0	pass	fail	pass	45.0	36.0874359835	SRR11033312_1.fastq	pass	
SRR11033312_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	27027654.0	pass	fail	pass	45.0	39.6556797171	SRR11033312_2.fastq	pass	
SRR11033313_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	26715805.0	pass	fail	warn	46.0	41.7372751464	SRR11033313_1.fastq	pass	
SRR11033313_2	pass	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	26715805.0	pass	fail	warn	46.0	51.7342073489	SRR11033313_2.fastq	pass	
SRR11294120	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	36713362.0	pass	fail	pass	44.0	38.8437269774	SRR11294120.fastq	pass	
SRR11294121	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	36716295.0	pass	fail	pass	44.0	37.3681144461	SRR11294121.fastq	pass	
SRR11294122	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	36703519.0	pass	fail	pass	45.0	38.5677676984	SRR11294122.fastq	pass	
SRR11294126	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	36693799.0	pass	fail	pass	44.0	30.4140320404	SRR11294126.fastq	pass	
SRR11294127	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	36697309.0	pass	fail	pass	44.0	31.0072237794	SRR11294127.fastq	pass	
SRR11294128	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	36701179.0	pass	fail	pass	44.0	31.5799989348	SRR11294128.fastq	pass	
SRR12554271_1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	69547903.0	pass	warn	fail	45.0	26.1800609123	SRR12554271_1.fastq	pass	
SRR12554271_2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	69547903.0	pass	fail	fail	48.0	26.9867373953	SRR12554271_2.fastq	pass	
SRR12554272_1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	77011709.0	pass	warn	fail	45.0	23.8297210276	SRR12554272_1.fastq	pass	
SRR12554272_2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	77011709.0	pass	fail	fail	47.0	24.6125540253	SRR12554272_2.fastq	pass	
SRR12554273_1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	68140308.0	pass	warn	fail	45.0	26.5174799186	SRR12554273_1.fastq	pass	
