Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR11033311_1	57.9810802374	150.0	20221945.0	10.0	45.0
SRR11033311_2	54.2777551385	150.0	20221945.0	10.0	46.0
SRR11033312_1	63.9125640165	150.0	27027654.0	20.0	45.0
SRR11033312_2	60.3443202829	150.0	27027654.0	20.0	45.0
SRR11033313_1	58.2627248536	150.0	26715805.0	20.0	46.0
SRR11033313_2	48.2657926511	150.0	26715805.0	10.0	46.0
SRR11294120	61.1562730226	50.0	36713362.0	20.0	44.0
SRR11294121	62.6318855539	50.0	36716295.0	20.0	44.0
SRR11294122	61.4322323016	50.0	36703519.0	20.0	45.0
SRR11294126	69.5859679596	50.0	36693799.0	20.0	44.0
SRR11294127	68.9927762206	50.0	36697309.0	20.0	44.0
SRR11294128	68.4200010652	50.0	36701179.0	20.0	44.0
SRR12554271_1	73.8199390877	150.0	69547903.0	40.0	45.0
SRR12554271_2	73.0132626047	150.0	69547903.0	50.0	48.0
SRR12554272_1	76.1702789724	150.0	77011709.0	40.0	45.0
SRR12554272_2	75.3874459747	150.0	77011709.0	50.0	47.0
SRR12554273_1	73.4825200814	150.0	68140308.0	40.0	45.0
SRR12554273_2	71.4457255808	150.0	68140308.0	50.0	48.0
SRR12554274_1	74.1501769952	150.0	83415544.0	40.0	44.0
SRR12554274_2	71.2536586453	150.0	62116951.0	50.0	47.0
SRR12554275_1	70.1758450595	150.0	66978520.0	40.0	45.0
SRR12554275_2	68.9157193238	150.0	66978520.0	50.0	48.0
SRR12554276_1	72.1296794117	150.0	80607973.0	40.0	45.0
SRR12554276_2	70.8565039824	150.0	80607973.0	50.0	48.0
SRR3143894	61.3228913637	50.0	60692178.0	27.2727272727	46.0
SRR3143897	63.0372330214	50.0	55031485.0	27.2727272727	45.0
SRR3143899	64.7551547734	50.0	49763923.0	27.2727272727	46.0
SRR3143916	68.5951844936	50.0	53631701.0	27.2727272727	46.0
SRR5809464	57.8875639244	76.0	19979205.0	10.0	45.0
SRR5809465	56.6406058859	76.0	19316169.0	10.0	45.0
SRR5809466	55.8543809304	76.0	19215440.0	10.0	45.0
SRR5809467	55.4724778385	76.0	17032003.0	10.0	46.0
SRR5809472	57.9673060038	76.0	17829621.0	10.0	45.0
SRR5809473	58.2052067958	76.0	16663980.0	10.0	45.0
SRR5809474	62.9662625649	76.0	16315916.0	20.0	44.0
SRR5809475	57.3885199649	76.0	16834130.0	10.0	45.0
SRR6910771	26.5114501623	50.0	28387609.0	10.0	44.0
SRR6910772	36.1459341046	50.0	28446766.0	10.0	44.0
SRR6910773	54.2876301737	50.0	28408934.0	20.0	45.0
SRR6910774	57.4487695522	50.0	28426470.0	20.0	44.0
SRR6910775	26.5776294114	50.0	28453973.0	10.0	44.0
SRR6910776	35.1603390201	50.0	28441492.0	10.0	45.0
SRR8867570_1	57.7794466999	151.0	26198921.0	20.0	46.0
SRR8867570_2	44.4629590414	151.0	26198921.0	10.0	47.0
SRR8867571_1	62.3935860986	151.0	23922446.0	30.0	47.0
SRR8867571_2	48.7791885675	151.0	23922446.0	20.0	47.0
SRR8867572_1	70.4332430722	151.0	23941434.0	30.0	48.0
SRR8867572_2	56.5449037857	151.0	23941434.0	30.0	48.0
