ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Group
GO:0006260	DNA replication	37/1159	4.74193744426711	9.62263598971447e-12	5.2809026311553e-08	3.83284785106101e-08	Cst3/Rpa3/Hras/E2f7/Cdc6/Fen1/Rrm1/Wdhd1/Mcm5/Dscc1/Pif1/Orc5/Dtl/Cdk2/Pold1/Rbbp4/Poli/Rpa2/Mcm4/Npm2/Pcna/Mcmbp/Mcm6/Chtf18/Pole/Nuggc/Terf1/Rev3l/Ing5/Chtf8/Ino80/Recql4/Obi1/Ccne2/Fam111a/Mcm2/Rmi2	37	Amputation
GO:1903532	positive regulation of secretion by cell	42/1159	4.38644897466175	6.55148170019294e-10	1.79772657853294e-06	1.30477930281737e-06	Klrc2/Oxct1/Septin5/Itgb2/Pla2g3/Zfp384/Stxbp1/Abat/Stxbp5l/Nadk/Gpr27/Stxbp2/Adam9/Tac1/Nr3c1/Rab15/Pld2/Hyal3/Irs2/Phpt1/Arf6/Apln/Sri/Nell2/Kiss1r/Nppc/Vegfc/Cckbr/Tacr2/Rapgef4/Apbb1/F2rl1/Rab27b/Sox11/Ghrhr/Vps4b/Vdr/Blk/Cacna1d/Gpr39/Rab27a/Slc12a2	42	Amputation
GO:0050673	epithelial cell proliferation	49/1159	4.12046883897821	1.2022994352599e-09	1.85534107975098e-06	1.34659556655242e-06	Crnn/Serpinb1a/Gdf5/Fgfr3/Hras/Osr1/Itpr1/Acvrl1/Esrp2/Ifng/Igfbp5/Mapk1/Tbx1/Il12b/Fabp7/Zfp703/Tbx18/Tcf19/Phb2/Fermt1/Azin1/Apln/Id2/Kit/Bcl11b/Shh/Vegfc/Hey1/B2m/Cflar/Stxbp4/Il10/Twist2/Ppp1r16b/Fgf18/Deaf1/Vash1/Sox11/Vdr/Aqp11/Bmper/Irf6/Itga4/Ncstn/Uhrf1/Cav1/Mcc/Cldn1/Htr2b	49	Amputation
GO:1903305	regulation of regulated secretory pathway	28/1159	5.04958025928143	1.61456433330646e-09	1.85534107975098e-06	1.34659556655242e-06	Klrc2/Itgb2/Pla2g3/Stxbp1/Lrrk2/Stxbp5l/Stxbp2/Ppfia2/Foxf1/Rab15/Pld2/Hyal3/Drd1/Nrn1/Gsk3b/Adrb2/Apba2/Pdpk1/Nppc/Apba1/F2rl1/Grm8/Doc2a/Syt15/Chrna3/Chrna7/Blk/Rab27a	28	Amputation
GO:0017157	regulation of exocytosis	33/1159	4.75787403652993	1.69036177091015e-09	1.85534107975098e-06	1.34659556655242e-06	Klrc2/Septin5/Itgb2/Pla2g3/Stxbp1/Lrrk2/Stxbp5l/Stxbp2/Ppfia2/Foxf1/Rab15/Pld2/Hyal3/Drd1/Nsf/Nrn1/Gsk3b/Adrb2/Apba2/Pdpk1/Nppc/Apba1/Rapgef4/F2rl1/Grm8/Doc2a/Syt15/Rab27b/Vps4b/Chrna3/Chrna7/Blk/Rab27a	33	Amputation
GO:0007059	chromosome segregation	39/1159	4.45228103751161	3.36546673399175e-09	3.07828023935779e-06	2.23419756516224e-06	Kifc5b/Syce1l/Sgo2a/Spata22/Cdc6/Fen1/Rcc2/Stag2/Smarcad1/Dscc1/Nsl1/Top3b/Gem/Ncapd3/Banf1/Rcc1/Aurkb/Psmc3ip/Terb2/Cenpk/Mau2/Phb2/Ube2i/Mcmbp/Ctcf/Zwilch/Chtf18/Terf1/Smc6/Stag1/Ino80/Pttg1/Recql4/Dsn1/Cenpt/Vps4b/Ccne2/Phf13/Rmi2	39	Amputation
GO:0045055	regulated exocytosis	35/1159	4.61236645285869	5.55978630676011e-09	4.35887246449993e-06	3.16364381726019e-06	Klrc2/Septin5/Itgb2/Pla2g3/Stxbp1/Lrrk2/Stxbp5l/Stxbp2/Ppfia2/Foxf1/Rab15/Pld2/Hyal3/Drd1/Nrn1/Stx3/Gsk3b/Adrb2/Kit/Apba2/Cplx2/Pdpk1/Nppc/Apba1/Abca12/Rapgef4/Tmem79/F2rl1/Grm8/Doc2a/Syt15/Chrna3/Chrna7/Blk/Rab27a	35	Amputation
GO:0051047	positive regulation of secretion	43/1159	4.24704841276393	1.39439404056205e-08	9.56554311825568e-06	6.94261453879843e-06	Klrc2/Oxct1/Septin5/Itgb2/Pla2g3/Zfp384/Stxbp1/Abat/Stxbp5l/Nadk/Gpr27/Stxbp2/Adam9/Tac1/Nr3c1/Rab15/Pld2/Agtr2/Hyal3/Irs2/Phpt1/Arf6/Apln/Sri/Nell2/Kiss1r/Nppc/Vegfc/Cckbr/Tacr2/Rapgef4/Apbb1/F2rl1/Rab27b/Sox11/Ghrhr/Vps4b/Vdr/Blk/Cacna1d/Gpr39/Rab27a/Slc12a2	43	Amputation
GO:0034765	regulation of ion transmembrane transport	48/1159	4.066736906898	1.93008108379241e-08	1.17692055420586e-05	8.54201967376665e-06	Kcnh3/Ngf/Osr1/Kcnj2/Ifng/Calcr/Gem/Cacna1s/Ppp2ca/Per2/Npsr1/Pm20d1/Drd1/Kcnj13/Phb2/Kcnj8/Rrad/Crbn/Adrb2/Ahcyl1/Sri/Bin1/Kcnj6/F2r/Kcnq3/Dapk1/Ubash3b/Kcng3/Kcne4/Rgs4/Grin2a/Akap6/Asph/F2rl3/Dnajc30/Amigo1/Thy1/Shisa8/Clic6/Nedd4/Hamp/Cacna1d/Gpr39/Cav1/Wnk2/Cacna2d3/Kcnip2/Shisa6	48	Amputation
GO:0006281	DNA repair	47/1159	4.07076917042594	4.5518275587061e-08	2.49804296421791e-05	1.81306478759409e-05	Gm5136/Spata22/Rpa3/Parp9/Radx/Fen1/Smarcad1/Wdhd1/Rev1/Fancf/Mcm5/Pif1/Rad23b/Cgas/Dtl/Chek2/Fanci/Nsd2/Cdk2/Pold1/Poli/Rpa2/Mcm4/Rad51ap1/Faap24/Pcna/Ino80c/Mcm6/Pole/Smc6/Rev3l/Fancb/Zswim7/Taok1/Mpg/Ino80/Pttg1/Apbb1/Recql4/Tdg/Tnks1bp1/Xrcc5/Fam111a/Mcm2/Rmi2/Uhrf1/Jmy	47	Amputation
GO:0048732	gland development	45/1159	4.10781044210629	1.05701574197579e-07	5.13199197874949e-05	3.7247693815383e-05	Ccl11/Fasn/Tbx3/Sp3/E2f7/Hlx/Pck1/Itpr1/Foxf1/Esrp2/Ifng/Nr3c1/Igfbp5/Mapk1/Hoxb3/Tbx1/Zfp703/Irs2/Tyr/Phb2/Plag1/Arf6/Sox3/Id2/Bcl11b/Arhgap35/Shh/Ash1l/Wnt4/Cckbr/Eda/Cflar/Rb1cc1/Elf3/Fgf18/Deaf1/Bcl2/Insm1/Ghrhr/Vdr/Pkm/Irf6/Ntn4/Cav1/Slc12a2	45	Amputation
GO:0006887	exocytosis	41/1159	4.24704841276393	1.12215568048458e-07	5.13199197874949e-05	3.7247693815383e-05	Klrc2/Septin5/Itgb2/Pla2g3/Stxbp1/Lrrk2/Stxbp5l/Stxbp2/Llgl1/Ppfia2/Nkd2/Foxf1/Rab15/Pld2/Hyal3/Lin7b/Drd1/Nsf/Nrn1/Stx3/Gsk3b/Adrb2/Kit/Apba2/Cplx2/Pdpk1/Nppc/Apba1/Abca12/Rapgef4/Tmem79/F2rl1/Grm8/Doc2a/Syt15/Rab27b/Vps4b/Chrna3/Chrna7/Blk/Rab27a	41	Amputation
GO:0042391	regulation of membrane potential	44/1159	4.13328952740728	1.3420182953919e-07	5.55747475710233e-05	4.03358226194476e-05	Gna15/Gna11/Kcnh3/Pycr1/Ubb/Abat/Lrrk2/Glra1/Tac1/Kcnj2/Ifng/S1pr2/Tbx18/Slc25a36/Drd1/Slc25a33/Npff/Kcnj8/Gsk3b/Mul1/Adrb2/Cbln1/Popdc3/Bin1/Kcnq3/Kcne4/Dbn1/Alox12/Rgs4/Grin2a/B2m/Rapgef4/Gabrb3/Akap6/Bcl2/Chrna9/Nedd4/Chrna3/Chrna7/Cacna1d/Gpr39/Cav1/Casp1/Kcnip2	44	Amputation
GO:0050708	regulation of protein secretion	33/1159	4.57823344648923	1.41772315232202e-07	5.55747475710233e-05	4.03358226194476e-05	Oxct1/Zfp384/Rsad2/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Llgl1/Adam9/Midn/Ifng/Il12b/Per2/Irs2/Cyp51/Npff/Phpt1/Hmgcr/Arf6/Sri/F2r/Vegfc/Sergef/Abca12/Rapgef4/Apbb1/Stxbp4/F2rl1/Blk/Cacna1d/Gpr39/Slc12a2	33	Amputation
GO:0006261	DNA-dependent DNA replication	21/1159	5.31949987539337	2.35046817426256e-07	8.59957956023528e-05	6.24152390976107e-05	E2f7/Cdc6/Wdhd1/Mcm5/Dscc1/Orc5/Cdk2/Pold1/Mcm4/Pcna/Mcmbp/Mcm6/Chtf18/Pole/Nuggc/Chtf8/Ino80/Recql4/Ccne2/Fam111a/Mcm2	21	Amputation
GO:0031529	ruffle organization	13/1159	6.23227566516008	2.94649104451831e-07	0.000101064642826978	7.33521191609033e-05	Sh3bp1/Rhog/Hras/Rcc2/Arf6/Kank1/Def8/Wdpcp/Tpm1/Plekha1/Lima1/Cav1/Carmil1	13	Amputation
GO:0042886	amide transport	35/1159	4.43759648582869	4.37593635677464e-07	0.000139279192632151	0.000101088013065839	Oxct1/Aqp3/Cdh17/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Cd74/Slc38a5/Slc5a6/Slc18a2/Midn/Slc16a10/Ifng/Slc25a32/Slc15a2/Per2/Irs2/Npff/Phpt1/Hmgcr/Apln/Sri/Cckbr/Tacr2/Abca12/Pask/Rapgef4/Stxbp4/Dio2/Ghrhr/Blk/Cacna1d/Gpr39	35	Amputation
GO:1904062	regulation of cation transmembrane transport	37/1159	4.34573778960474	5.08139417827678e-07	0.000139279192632151	0.000101088013065839	Ngf/Osr1/Kcnj2/Ifng/Calcr/Gem/Ppp2ca/Npsr1/Pm20d1/Drd1/Phb2/Rrad/Crbn/Adrb2/Sri/Bin1/F2r/Dapk1/Ubash3b/Kcne4/Rgs4/Grin2a/Akap6/Asph/F2rl3/Dnajc30/Amigo1/Thy1/Shisa8/Nedd4/Hamp/Cacna1d/Gpr39/Cav1/Wnk2/Kcnip2/Shisa6	37	Amputation
GO:0001505	regulation of neurotransmitter levels	29/1159	4.72625084809941	5.38349536092479e-07	0.000139279192632151	0.000101088013065839	Septin5/Colq/Slc29a2/Stxbp1/Abat/Lrrk2/Stxbp5l/Stxbp2/Ppfia2/Ngf/Slc18a2/Comt/Per2/Slc1a7/Lin7b/Drd1/Nrn1/Stx3/Gsk3b/Adrb2/Apba2/Cplx2/Slc6a5/Apba1/Tacr2/Grm8/Doc2a/Chrna3/Chrna7	29	Amputation
GO:0009306	protein secretion	38/1159	4.30151732112537	5.54837355869566e-07	0.000139279192632151	0.000101088013065839	Oxct1/Zfp384/Rsad2/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Llgl1/Adam9/Slc18a2/Midn/Ifng/Rab15/Il12b/Per2/Irs2/Cyp51/Npff/Phpt1/Hmgcr/Arf6/Cbln1/Sri/Cavin1/F2r/Vegfc/Sergef/Tacr2/Abca12/Rapgef4/Apbb1/Stxbp4/F2rl1/Blk/Cacna1d/Gpr39/Slc12a2	38	Amputation
GO:0003012	muscle system process	40/1159	4.22323776407022	5.66186524041967e-07	0.000139279192632151	0.000101088013065839	Tnfrsf1b/Tbx3/Col14a1/Abat/Glra1/Tnni2/Kcnj2/Mybpc2/Nr3c1/Igfbp5/Ormdl3/Cacna1s/Agtr2/Drd1/Kcnj8/Gsk3b/Adrb2/Kit/Srsf1/Sri/Bin1/Sstr2/F2r/Nppc/Kcne4/Dbn1/Hsbp1/Rgs4/Tacr2/Cflar/Apbb1/Akap6/Tpm1/Trip10/Chrna3/Hamp/Cacna1d/Cav1/Twf1/Htr2b	40	Amputation
GO:0035592	establishment of protein localization to extracellular region	38/1159	4.2989760236967	5.90954756922457e-07	0.000139279192632151	0.000101088013065839	Oxct1/Zfp384/Rsad2/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Llgl1/Adam9/Slc18a2/Midn/Ifng/Rab15/Il12b/Per2/Irs2/Cyp51/Npff/Phpt1/Hmgcr/Arf6/Cbln1/Sri/Cavin1/F2r/Vegfc/Sergef/Tacr2/Abca12/Rapgef4/Apbb1/Stxbp4/F2rl1/Blk/Cacna1d/Gpr39/Slc12a2	38	Amputation
GO:0031644	regulation of nervous system process	24/1159	5.03357991793499	6.04463086911131e-07	0.000139279192632151	0.000101088013065839	Tnfrsf1b/Abat/Lrrk2/Homer3/Glra1/Tac1/Comt/Tnr/Ifng/S1pr2/Npff/Gsk3b/Adrb2/Cbln1/F2r/Dbn1/Rgs4/Grin2a/Cckbr/Rapgef4/Il10/Chrna7/Mag/Shisa6	24	Amputation
GO:0098813	nuclear chromosome segregation	30/1159	4.66585513780967	6.09092679149347e-07	0.000139279192632151	0.000101088013065839	Kifc5b/Syce1l/Sgo2a/Spata22/Cdc6/Fen1/Rcc2/Stag2/Dscc1/Nsl1/Gem/Ncapd3/Aurkb/Psmc3ip/Terb2/Cenpk/Mau2/Phb2/Mcmbp/Zwilch/Terf1/Stag1/Ino80/Pttg1/Recql4/Dsn1/Vps4b/Ccne2/Phf13/Rmi2	30	Amputation
GO:0001654	eye development	40/1159	4.21154172430702	7.63284570572779e-07	0.000164240305870976	0.000119204641210637	Pbx4/Foxf2/Adamts18/Meis1/Cdk20/Fgfr3/Vsx2/Myf5/Sp3/Traf3ip1/Foxn4/Lpcat1/Acvrl1/Fat1/Dscam/Rom1/Cacna1s/Arl6/Tspan12/Pknox1/Mip/Sox8/Prph2/Smarcd3/Tsku/Crygs/Crybb2/Rpgr/Bcl11b/Arhgap35/Shh/Wdpcp/Frem2/Twist2/Thy1/Bcl2/Rp1l1/Sox11/Slitrk6/Sdk2	40	Amputation
GO:0046879	hormone secretion	36/1159	4.36996508494006	7.78106405365413e-07	0.000164240305870976	0.000119204641210637	Oxct1/Pla2g3/Tbx3/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Tac1/Slc18a2/Midn/Slc16a10/Ifng/Per2/Agtr2/Irs2/Npff/Phpt1/Hmgcr/Apln/Sri/Nell2/Kiss1r/Cckbr/Tacr2/Abca12/Pask/Rapgef4/Stxbp4/Dio2/Sox11/Ghrhr/Vdr/Blk/Cacna1d/Gpr39	36	Amputation
GO:0150063	visual system development	40/1159	4.20458920499214	9.10506398160151e-07	0.000178768564247893	0.000129749165090154	Pbx4/Foxf2/Adamts18/Meis1/Cdk20/Fgfr3/Vsx2/Myf5/Sp3/Traf3ip1/Foxn4/Lpcat1/Acvrl1/Fat1/Dscam/Rom1/Cacna1s/Arl6/Tspan12/Pknox1/Mip/Sox8/Prph2/Smarcd3/Tsku/Crygs/Crybb2/Rpgr/Bcl11b/Arhgap35/Shh/Wdpcp/Frem2/Twist2/Thy1/Bcl2/Rp1l1/Sox11/Slitrk6/Sdk2	40	Amputation
GO:0071692	protein localization to extracellular region	38/1159	4.28136550568806	9.12084511468841e-07	0.000178768564247893	0.000129749165090154	Oxct1/Zfp384/Rsad2/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Llgl1/Adam9/Slc18a2/Midn/Ifng/Rab15/Il12b/Per2/Irs2/Cyp51/Npff/Phpt1/Hmgcr/Arf6/Cbln1/Sri/Cavin1/F2r/Vegfc/Sergef/Tacr2/Abca12/Rapgef4/Apbb1/Stxbp4/F2rl1/Blk/Cacna1d/Gpr39/Slc12a2	38	Amputation
GO:0050678	regulation of epithelial cell proliferation	38/1159	4.27639037104795	1.03006349591242e-06	0.000194930636743702	0.000141479501580131	Crnn/Gdf5/Fgfr3/Hras/Osr1/Itpr1/Acvrl1/Esrp2/Ifng/Tbx1/Il12b/Zfp703/Tbx18/Phb2/Azin1/Apln/Bcl11b/Shh/Vegfc/Hey1/B2m/Cflar/Stxbp4/Il10/Twist2/Ppp1r16b/Fgf18/Deaf1/Vash1/Sox11/Vdr/Aqp11/Itga4/Uhrf1/Cav1/Mcc/Cldn1/Htr2b	38	Amputation
GO:0048880	sensory system development	40/1159	4.19539373789904	1.14813664298083e-06	0.000210032463222627	0.000152440317790859	Pbx4/Foxf2/Adamts18/Meis1/Cdk20/Fgfr3/Vsx2/Myf5/Sp3/Traf3ip1/Foxn4/Lpcat1/Acvrl1/Fat1/Dscam/Rom1/Cacna1s/Arl6/Tspan12/Pknox1/Mip/Sox8/Prph2/Smarcd3/Tsku/Crygs/Crybb2/Rpgr/Bcl11b/Arhgap35/Shh/Wdpcp/Frem2/Twist2/Thy1/Bcl2/Rp1l1/Sox11/Slitrk6/Sdk2	40	Amputation
GO:0009914	hormone transport	36/1159	4.34840090702422	1.29436238461131e-06	0.00022405305340945	0.00016261637910491	Oxct1/Pla2g3/Tbx3/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Tac1/Slc18a2/Midn/Slc16a10/Ifng/Per2/Agtr2/Irs2/Npff/Phpt1/Hmgcr/Apln/Sri/Nell2/Kiss1r/Cckbr/Tacr2/Abca12/Pask/Rapgef4/Stxbp4/Dio2/Sox11/Ghrhr/Vdr/Blk/Cacna1d/Gpr39	36	Amputation
GO:0007160	cell-matrix adhesion	26/1159	4.85922653079021	1.30643179830583e-06	0.00022405305340945	0.00016261637910491	Itgb2/Actn1/Myf5/Adam9/Rcc2/Acvrl1/Itgb8/Gfus/Angptl3/Gsk3b/Fermt1/Tesk2/Pdpk1/Frem1/Vegfc/Wnt4/Wdpcp/Eda/Tmem8b/Nid2/Thy1/Bcl2/Nexmif/Bcam/Itga4/Nid1	26	Amputation
GO:0060562	epithelial tube morphogenesis	37/1159	4.2989760236967	1.56768305976299e-06	0.000253180316782169	0.000183756774340902	Ccl11/Prkacb/Tbx3/Cdk20/Stk3/Osr1/Foxf1/Acvrl1/Esrp2/Nr3c1/Commd5/Tbx1/Enah/Agtr2/Sox8/Sfrp5/Phb2/Mthfr/Ret/Foxh1/Arhgap35/Shh/Celsr1/Alox12/Hey1/Wnt4/Rasip1/Luzp1/Mgp/Deaf1/Bcl2/Sox11/Vdr/St14/Irx3/Slc12a2/Fzd1	37	Amputation
GO:0006310	DNA recombination	31/1159	4.56821666824576	1.61205213738212e-06	0.000253180316782169	0.000183756774340902	Rpa3/Radx/Smarcad1/Tprkb/Mcm5/Pif1/Cgas/Ifng/Nsd2/Exosc6/Rpa2/Psmc3ip/H1f0/Mcm4/Rad51ap1/Rag2/Ino80c/Mcm6/Chtf18/Smc6/Rev3l/Bcl11b/Fancb/Zswim7/Rec114/Ino80/Mnd1/Recql4/Xrcc5/Mcm2/Rmi2	31	Amputation
GO:0010959	regulation of metal ion transport	40/1159	4.1817571629495	1.61467038764138e-06	0.000253180316782169	0.000183756774340902	Homer3/Ngf/Osr1/Itpr1/Kcnj2/Mchr1/Ifng/Calcr/Gem/Ppp2ca/Npsr1/Drd1/Rrad/Crbn/Adrb2/Ahcyl1/Sri/Bin1/F2r/Ubash3b/Kcne4/Rgs4/B2m/Akap6/Best1/Asph/F2rl3/Amigo1/Thy1/Bcl2/Vdr/Nedd4/Plcb4/Hamp/Cacna1d/Gpr39/Cav1/Wnk2/Adcyap1r1/Kcnip2	40	Amputation
GO:0046883	regulation of hormone secretion	31/1159	4.56489991561976	1.72911277577402e-06	0.000258137250968236	0.000187354487813374	Oxct1/Pla2g3/Abat/Stxbp5l/Nadk/Gpr27/Arntl/Tac1/Midn/Ifng/Per2/Agtr2/Irs2/Npff/Phpt1/Hmgcr/Apln/Sri/Nell2/Kiss1r/Cckbr/Tacr2/Abca12/Pask/Stxbp4/Sox11/Ghrhr/Vdr/Blk/Cacna1d/Gpr39	31	Amputation
GO:0010524	positive regulation of calcium ion transport into cytosol	13/1159	6.08567219096821	1.76316179223192e-06	0.000258137250968236	0.000187354487813374	Calcr/Npsr1/Drd1/Adrb2/Sri/F2r/Akap6/Asph/F2rl3/Thy1/Gpr39/Cav1/Adcyap1r1	13	Amputation
GO:0050679	positive regulation of epithelial cell proliferation	25/1159	4.90468890486697	1.85095487541986e-06	0.000258137250968236	0.000187354487813374	Crnn/Fgfr3/Hras/Osr1/Itpr1/Acvrl1/Esrp2/Tbx1/Zfp703/Tbx18/Azin1/Apln/Shh/Vegfc/Cflar/Stxbp4/Il10/Twist2/Ppp1r16b/Fgf18/Sox11/Itga4/Cav1/Cldn1/Htr2b	25	Amputation
GO:0043010	camera-type eye development	36/1159	4.33252755786793	1.87356895648694e-06	0.000258137250968236	0.000187354487813374	Foxf2/Meis1/Cdk20/Fgfr3/Vsx2/Myf5/Sp3/Traf3ip1/Foxn4/Lpcat1/Acvrl1/Fat1/Dscam/Rom1/Cacna1s/Arl6/Tspan12/Pknox1/Mip/Sox8/Prph2/Smarcd3/Tsku/Crygs/Crybb2/Rpgr/Bcl11b/Arhgap35/Shh/Wdpcp/Twist2/Thy1/Rp1l1/Sox11/Slitrk6/Sdk2	36	Amputation
GO:0006836	neurotransmitter transport	27/1159	4.77815870770143	1.91436877475895e-06	0.000258137250968236	0.000187354487813374	Septin5/Slc29a2/Stxbp1/Lrrk2/Stxbp5l/Stxbp2/Ppfia2/Ngf/Slc18a2/Per2/Slc1a7/Lin7b/Drd1/Nrn1/Stx3/Gsk3b/Adrb2/Apba2/Cplx2/Slc6a15/Slc6a5/Apba1/Tacr2/Grm8/Doc2a/Chrna3/Chrna7	27	Amputation
GO:0090596	sensory organ morphogenesis	32/1159	4.51013583020979	1.94736902316025e-06	0.000258137250968236	0.000187354487813374	Foxf2/Meis1/Fgfr3/Vsx2/Sp3/Foxn4/Osr1/Fat1/Dscam/Rom1/Mapk1/Tbx1/Arl6/Tspan12/Tbx18/Sox8/Tsku/Rpgr/Shh/Celsr1/Wdpcp/Myo15/Prkra/Thy1/Bcl2/Sox11/Slitrk6/Chrna9/Tprn/Sdk2/Ttc39c/Rpl38	32	Amputation
GO:0031589	cell-substrate adhesion	35/1159	4.37269359959327	1.9755401859814e-06	0.000258137250968236	0.000187354487813374	Itgb2/Actn1/Myf5/Adam9/Rcc2/Fbln2/Foxf1/Acvrl1/Itgb8/Gfus/Angptl3/Gsk3b/Fermt1/Kank1/Tesk2/Pdpk1/Dbn1/Frem1/Vegfc/Wnt4/Wdpcp/Eda/Tmem8b/Nid2/Ntng2/Thy1/Bcl2/Nexmif/Nedd9/Bcam/Lamb1/Ntn4/Itga4/Nid1/Carmil1	35	Amputation
GO:0032535	regulation of cellular component size	38/1159	4.24224071119583	2.34660266821153e-06	0.000299491987049881	0.000217369510318542	Sh3bp1/Scin/Ngf/Sema3d/Tnr/Dscam/Chmp3/Plekhh2/Fstl4/Gsk3b/Arf6/Arpc4/Ret/Gdi1/Bin1/Avil/Wdtc1/Kank1/Pex11a/Cdc42ep5/Arhgap35/Dbn1/Akt1s1/Nck1/Rb1cc1/Esam/F2rl1/Tpm1/Tmem123/Aqp11/Lima1/D130043K22Rik/Carmil1/Mag/Slc12a2/Dnai3/Jmy/Twf1	38	Amputation
