ID	Description	p.Val	FDR	Phenotype	Genes
GO:0000280	nuclear division	5.65633286271278e-09	7.6370791581334e-06	1	Sycp1,Mad2l1,Nek2,Kif11,Aurka,Mis12,Ccnb1,Mastl,Birc5,Bub1,Incenp,Cdc20,Aspm,Sgo1,Ube2c
GO:0000070	mitotic sister chromatid segregation	7.03955102474678e-09	7.6370791581334e-06	1	Mad2l1,Nek2,Mis12,Ccnb1,Birc5,Bub1,Incenp,Cdc20,Sgo1,Ube2c
GO:0098813	nuclear chromosome segregation	1.20733244682083e-08	7.6370791581334e-06	1	Sycp1,Mad2l1,Nek2,Ect2,Mis12,Ccnb1,Birc5,Bub1,Incenp,Cdc20,Sgo1,Ube2c
GO:0007059	chromosome segregation	1.42595218183962e-08	7.6370791581334e-06	1	Sycp1,Mad2l1,Nek2,Ect2,Mis12,Ccnb1,Birc5,Bub1,Oip5,Incenp,Cdc20,Sgo1,Ube2c
GO:0140014	mitotic nuclear division	1.47662010018047e-08	7.6370791581334e-06	1	Mad2l1,Nek2,Kif11,Aurka,Mis12,Ccnb1,Birc5,Bub1,Incenp,Cdc20,Sgo1,Ube2c
GO:0048285	organelle fission	2.54379378218017e-08	1.09637512011965e-05	1	Sycp1,Mad2l1,Nek2,Kif11,Aurka,Mis12,Ccnb1,Mastl,Birc5,Bub1,Incenp,Cdc20,Aspm,Sgo1,Ube2c
GO:0000819	sister chromatid segregation	3.48547494921332e-08	1.28763403123795e-05	1	Mad2l1,Nek2,Mis12,Ccnb1,Birc5,Bub1,Incenp,Cdc20,Sgo1,Ube2c
GO:0030198	extracellular matrix organization	5.07127283431819e-08	1.40644180717857e-05	1	Lox,Col8a1,Fn1,Sulf2,Scx,Loxl2,Fkbp10,Lum,Tgfbi,Ddr2,Sh3pxd2b,Postn
GO:0043062	extracellular structure organization	5.25209849498076e-08	1.40644180717857e-05	1	Lox,Col8a1,Fn1,Sulf2,Scx,Loxl2,Fkbp10,Lum,Tgfbi,Ddr2,Sh3pxd2b,Postn
GO:0045229	external encapsulating structure organization	5.43867674856371e-08	1.40644180717857e-05	1	Lox,Col8a1,Fn1,Sulf2,Scx,Loxl2,Fkbp10,Lum,Tgfbi,Ddr2,Sh3pxd2b,Postn
GO:0061448	connective tissue development	2.06848423631981e-07	4.8628183955664e-05	1	Lox,Thbs1,Cbs,Sulf2,Mdk,Prrx1,Scx,Ctsk,Loxl2,Snai1,Sh3pxd2b
GO:0030199	collagen fibril organization	4.69352275794331e-07	0.000101145415433678	1	Lox,Scx,Loxl2,Fkbp10,Lum,Ddr2
GO:0008608	attachment of spindle microtubules to kinetochore	5.76306947001315e-07	0.000114640751149646	1	Nek2,Ect2,Mis12,Ccnb1,Sgo1
GO:0048771	tissue remodeling	7.67987113455928e-07	0.000141858191099788	1	Cthrc1,Cbs,Thbs4,Mdk,Lrp1,Ctsk,P2rx7,Rspo3,Ddr2
GO:0051216	cartilage development	1.14794232397482e-06	0.000187679121448835	1	Thbs1,Cbs,Sulf2,Mdk,Prrx1,Scx,Ctsk,Loxl2,Snai1
GO:0001503	ossification	1.16120106078165e-06	0.000187679121448835	1	Cthrc1,Lox,Cbs,Fzd9,Ltf,Mdk,Glis1,Scx,Cbfb,P2rx7,Ddr2,Sh3pxd2b
